name,uni_roll,branch
Dr. Andrea Rogers DVM,UNI000001,EE
Vicki Stevens,UNI000002,CHE
Steven Dalton,UNI000003,ECE
Christopher Wright,UNI000004,ME
Tyrone Sanders,UNI000005,CSE
Linda Martinez,UNI000006,ME
Vanessa Gill,UNI000007,CHE
Megan Rodriguez,UNI000008,ECE
Steven Davis,UNI000009,CHE
Christopher Miranda,UNI000010,CE
Paige Adams,UNI000011,PHM
James Kelley,UNI000012,ECE
Nicholas Washington,UNI000013,EE
Thomas Torres,UNI000014,BT
Tracy White,UNI000015,CSE
Regina Callahan MD,UNI000016,EE
William Chapman,UNI000017,CSE
Shawn Rodgers,UNI000018,ME
Isaac Meadows,UNI000019,BT
Michael Miller,UNI000020,PHM
Brandon Peterson,UNI000021,CHE
Danielle Brewer,UNI000022,EE
Rachel Wells,UNI000023,CHE
William Wagner,UNI000024,CSE
Matthew Ayala,UNI000025,EE
Angelica Murray,UNI000026,ME
Dustin Davis,UNI000027,CE
Danny Smith,UNI000028,CSE
Brandi Day,UNI000029,CHE
Jonathan Ortiz,UNI000030,PHM
Scott Powers,UNI000031,BT
Amy Miller,UNI000032,CE
Wesley Peterson,UNI000033,CE
Cody Russo,UNI000034,ME
Nicholas Soto,UNI000035,CE
Benjamin Coffey,UNI000036,ME
Michelle Pearson,UNI000037,CE
Lance Sherman,UNI000038,ME
Jessica Adams,UNI000039,EE
Daniel Thompson,UNI000040,EE
Nicole Simmons,UNI000041,PHM
Kenneth Payne,UNI000042,PHM
Michelle Ferguson,UNI000043,PHM
Susan Forbes,UNI000044,EE
Tiffany Malone,UNI000045,CSE
Edward Stevens,UNI000046,CE
Michael Morales,UNI000047,ME
Haley Ibarra,UNI000048,CE
Jeffrey Gray,UNI000049,BT
Christopher Burgess,UNI000050,PHM
Jessica Li,UNI000051,ME
Jeremy Best,UNI000052,ECE
Mike Robles,UNI000053,CHE
Michelle King,UNI000054,ME
Francisco Lewis,UNI000055,CE
James Jones,UNI000056,ECE
Michael Montgomery,UNI000057,CHE
Ruben Cook,UNI000058,PHM
Dylan Jones,UNI000059,ME
Mark West,UNI000060,BT
Corey Klein,UNI000061,PHM
Shannon Sutton,UNI000062,PHM
Sheila Ferguson,UNI000063,ECE
David Rogers,UNI000064,EE
Jill Obrien,UNI000065,CE
Candace Harris,UNI000066,ECE
Johnny Brown,UNI000067,ECE
Thomas Thomas,UNI000068,PHM
Nicholas Griffith,UNI000069,ECE
Glenda Smith,UNI000070,EE
Elizabeth Castillo,UNI000071,PHM
Christopher Lester,UNI000072,PHM
Todd Martin,UNI000073,CE
Jasmine Haley,UNI000074,ME
Carolyn Smith,UNI000075,BT
Chelsea Gonzales,UNI000076,CHE
David Petersen,UNI000077,PHM
Meagan Kelly,UNI000078,CSE
Raymond Werner,UNI000079,PHM
Dr. Jonathan Howell,UNI000080,ECE
Kristy Gray,UNI000081,BT
Zachary Goodwin,UNI000082,EE
David Ramos,UNI000083,EE
Dakota Cooper,UNI000084,CSE
Jonathan Bradshaw,UNI000085,CHE
Tracy Ortiz,UNI000086,PHM
Jennifer Blackwell,UNI000087,CE
Loretta Green,UNI000088,CHE
Sara Davis,UNI000089,PHM
Tommy Smith,UNI000090,ME
Dylan Gomez,UNI000091,CSE
Brandi Park,UNI000092,ECE
Dr. Evan Anderson,UNI000093,CSE
Paige Rose,UNI000094,CHE
Rachel Williams,UNI000095,PHM
Kimberly Ward,UNI000096,ECE
Stacy Robertson,UNI000097,EE
Monica Becker,UNI000098,CSE
Jeffrey Hill,UNI000099,BT
Kimberly Bentley,UNI000100,BT
Jeremy Murphy,UNI000101,CE
James Morrison,UNI000102,BT
Joseph Martin,UNI000103,ECE
Amber Nelson,UNI000104,CE
Dennis Brown,UNI000105,ME
Patrick Gomez,UNI000106,PHM
Michael Fleming,UNI000107,CSE
Robert Pearson,UNI000108,PHM
Timothy Myers,UNI000109,CHE
David Johnston,UNI000110,CSE
Margaret Carlson,UNI000111,EE
Anthony Ross,UNI000112,CHE
Maria Perez,UNI000113,PHM
Cameron Banks,UNI000114,CE
Megan Ward,UNI000115,ME
Craig Anderson,UNI000116,CE
William Brown,UNI000117,ECE
James Carey,UNI000118,CHE
Tonya Burns,UNI000119,BT
Douglas Mays,UNI000120,CE
Juan Flores,UNI000121,BT
Dawn English,UNI000122,PHM
Jennifer Taylor,UNI000123,EE
Daniel Murphy,UNI000124,ECE
Christina Bell,UNI000125,EE
Carolyn Howard,UNI000126,EE
Shelly Reed,UNI000127,CHE
Rebecca Thomas,UNI000128,PHM
Michelle Garcia,UNI000129,PHM
Laura Green,UNI000130,CE
Douglas Santiago,UNI000131,CE
Cynthia Beck,UNI000132,CHE
Maureen Webb,UNI000133,BT
Melissa Becker,UNI000134,CSE
Stephen Griffin,UNI000135,CSE
Laura Williams DDS,UNI000136,ECE
Deborah Lambert,UNI000137,CHE
Harold Phillips,UNI000138,CSE
Robin Williams,UNI000139,BT
David Lopez,UNI000140,PHM
Brandy Murphy,UNI000141,BT
Christina Ellis,UNI000142,CSE
Jose White,UNI000143,ME
Michele Hudson,UNI000144,CSE
Luis Lane,UNI000145,PHM
Justin Anderson,UNI000146,ECE
Teresa Perkins,UNI000147,CSE
Lauren Reyes,UNI000148,BT
Kaitlyn Mayer,UNI000149,CE
Elizabeth Arias,UNI000150,CSE
Teresa Atkins,UNI000151,EE
Mark Morales,UNI000152,BT
Erik Patel,UNI000153,CSE
Emma Ward,UNI000154,PHM
Christopher Cunningham,UNI000155,EE
Amber King,UNI000156,ECE
Sarah Garcia,UNI000157,ECE
Zachary Pierce,UNI000158,CHE
Scott Perez,UNI000159,BT
Austin Mckenzie,UNI000160,BT
James Jones,UNI000161,CSE
Willie Brown,UNI000162,CSE
Kristopher Farmer,UNI000163,PHM
Susan Myers,UNI000164,BT
Kelli Carter,UNI000165,ECE
Amanda Thomas,UNI000166,CSE
Stephanie Anderson,UNI000167,EE
Michelle Smith DDS,UNI000168,PHM
Jessica Brennan,UNI000169,BT
Stephanie Jones,UNI000170,EE
Amanda Buck,UNI000171,BT
Michael Lynch,UNI000172,CE
Tiffany Price,UNI000173,CSE
Melanie Evans,UNI000174,BT
William Jones,UNI000175,EE
Carla Charles,UNI000176,EE
Logan Mcdonald,UNI000177,ECE
Mr. Carlos Parker,UNI000178,ECE
Fernando Herrera,UNI000179,CHE
Justin Craig,UNI000180,ECE
Maria Cunningham,UNI000181,CHE
Kristen Santiago,UNI000182,PHM
Mr. Christopher Rodriguez,UNI000183,PHM
Tyler Mercado,UNI000184,ECE
Patricia Duncan,UNI000185,PHM
Michael Gomez,UNI000186,EE
Leah Mendoza,UNI000187,CSE
Jessica Burke,UNI000188,CHE
Carl Roberts,UNI000189,CSE
Jeremy Middleton,UNI000190,ME
Michael Williams,UNI000191,EE
Dalton Mason,UNI000192,CHE
Danielle Allen,UNI000193,CE
Erin Kirk,UNI000194,PHM
Drew Torres,UNI000195,EE
Donna Bentley,UNI000196,EE
Brooke Hall,UNI000197,CE
Tamara Robinson,UNI000198,CE
Sean Diaz,UNI000199,EE
Miguel Schmidt,UNI000200,PHM
James Hester,UNI000201,ME
Jacob Rhodes,UNI000202,BT
Jessica Conway,UNI000203,ECE
Terry David,UNI000204,EE
Luis Hendricks,UNI000205,CSE
Brian Murray,UNI000206,PHM
Heidi Smith,UNI000207,ME
Alexandra Nelson,UNI000208,ECE
James Sims,UNI000209,CE
Samantha Mosley,UNI000210,CE
Paul Anderson,UNI000211,PHM
Stephanie Payne,UNI000212,BT
Emily Miller,UNI000213,ME
Christopher Parker,UNI000214,CE
Elizabeth Garcia,UNI000215,CSE
Robin Jones,UNI000216,ME
Courtney Moore,UNI000217,PHM
Kevin Johnson,UNI000218,CHE
Lydia Jones,UNI000219,ECE
Mason Williams,UNI000220,ME
Angela Brown,UNI000221,BT
Patrick Cortez,UNI000222,CE
James Morton,UNI000223,PHM
Mrs. Kim Mason,UNI000224,CE
David Dunn,UNI000225,CSE
Nathan Baldwin,UNI000226,ECE
Nathaniel Coleman MD,UNI000227,CHE
Elizabeth Morgan DVM,UNI000228,CSE
David Nelson,UNI000229,ME
Rodney Hayes,UNI000230,PHM
Ethan Carter,UNI000231,CE
Alejandro Weaver,UNI000232,BT
Jason Sanders,UNI000233,BT
David Valdez,UNI000234,PHM
James Hines,UNI000235,ECE
Catherine Nash,UNI000236,CE
Dale Adams,UNI000237,EE
Thomas Cortez,UNI000238,CSE
Erika Bradford,UNI000239,CHE
Joseph Barron,UNI000240,CE
Richard Pearson,UNI000241,ME
Timothy Richardson,UNI000242,EE
Grace Anderson,UNI000243,ME
Joel Moore,UNI000244,CSE
Amanda Hampton,UNI000245,ECE
Kristen Lucero,UNI000246,BT
Dana Edwards,UNI000247,PHM
Erica Bonilla,UNI000248,ECE
Tyler Dixon,UNI000249,CSE
Jessica Drake,UNI000250,CE
Michael Marshall,UNI000251,ME
James Byrd,UNI000252,ECE
Molly Martinez,UNI000253,EE
Sara Porter,UNI000254,CHE
Shawn Goodwin,UNI000255,BT
Matthew Wilson,UNI000256,ECE
Anna Lane,UNI000257,ME
Tonya Jones,UNI000258,EE
Nathan Smith,UNI000259,PHM
Olivia Davenport,UNI000260,CHE
Steven Wright,UNI000261,CE
Robert Lee,UNI000262,CE
Tommy Campbell,UNI000263,BT
Laura Jones,UNI000264,PHM
Christy Sweeney,UNI000265,ECE
Carl Cortez,UNI000266,PHM
Ashley Austin,UNI000267,CSE
Cathy Hamilton,UNI000268,ME
Julie West,UNI000269,CSE
Sean Hughes,UNI000270,CE
Julie Villarreal,UNI000271,CSE
Dylan Tate,UNI000272,CSE
Brandon Gibson,UNI000273,CHE
Dr. Timothy Vasquez DVM,UNI000274,PHM
Sean Jefferson,UNI000275,CE
Harry Hall,UNI000276,CHE
Patricia Jones,UNI000277,BT
Jason Townsend,UNI000278,ECE
Brenda Patterson,UNI000279,CHE
Kevin Church,UNI000280,ECE
Christopher Green,UNI000281,ECE
Matthew Richardson,UNI000282,BT
Garrett Bell,UNI000283,PHM
Melissa Myers,UNI000284,CSE
Elizabeth Kim,UNI000285,BT
James Lewis,UNI000286,CHE
Robert Rodriguez,UNI000287,CSE
Sara Jones,UNI000288,PHM
Christian Sanchez,UNI000289,EE
Robert Bowman,UNI000290,ECE
John Hale,UNI000291,CE
Rita Acosta,UNI000292,CHE
Alyssa Delacruz,UNI000293,BT
Brooke Hayden,UNI000294,CE
Brittany Dunlap,UNI000295,EE
John Savage,UNI000296,PHM
Maurice Farmer,UNI000297,ME
Cody Lee,UNI000298,ME
Brad Baker Jr.,UNI000299,ECE
Richard Boyer,UNI000300,ME
Michael Patterson,UNI000301,BT
Christine Hall,UNI000302,BT
Billy Wright,UNI000303,ECE
Karen Morgan,UNI000304,EE
Misty Crawford,UNI000305,BT
Michael Garcia,UNI000306,CE
Jessica Wade,UNI000307,PHM
Lawrence Scott,UNI000308,BT
Susan Warren DDS,UNI000309,ECE
Judy Hubbard,UNI000310,CE
Michael Miranda,UNI000311,CSE
Kendra Schneider,UNI000312,ME
Tammy Martin,UNI000313,ECE
Tonya Barrett,UNI000314,CE
Chelsea Bennett,UNI000315,PHM
Diana Payne,UNI000316,CSE
Aaron Edwards,UNI000317,CSE
Crystal Bowers,UNI000318,BT
Thomas Wagner,UNI000319,BT
Jacqueline Martin,UNI000320,EE
Alex Robles,UNI000321,PHM
Andrew Krueger,UNI000322,PHM
Mitchell Chapman,UNI000323,CE
Vanessa Hughes,UNI000324,CSE
Christopher Long,UNI000325,CHE
Shannon Harper,UNI000326,PHM
Dawn Shepard,UNI000327,CE
Rebecca Carlson,UNI000328,EE
Zachary Andrews,UNI000329,ME
Ricky Watts,UNI000330,BT
Jennifer Sanchez,UNI000331,PHM
Reginald Terry,UNI000332,EE
Dr. David Abbott,UNI000333,CE
Jessica Blankenship,UNI000334,ECE
Julia Davis DDS,UNI000335,EE
Dr. Mallory Smith,UNI000336,ECE
Linda King DDS,UNI000337,CE
Jesse Hughes,UNI000338,PHM
Thomas Carr,UNI000339,CSE
Victor Morris,UNI000340,PHM
Angela Scott,UNI000341,PHM
Marvin Williams,UNI000342,ME
Sherri Thomas,UNI000343,ECE
David Smith,UNI000344,PHM
Steven Torres,UNI000345,PHM
Evan Wilson,UNI000346,CE
Angelica Miller,UNI000347,CHE
Mrs. Dawn Wilkins,UNI000348,PHM
Michael Dorsey,UNI000349,BT
Katelyn Copeland,UNI000350,CHE
Donna Freeman,UNI000351,EE
Sharon Thompson,UNI000352,EE
Erik Johnson,UNI000353,PHM
Misty Willis,UNI000354,CHE
David Haynes,UNI000355,ECE
Morgan Johnson,UNI000356,EE
Ashley Morales,UNI000357,EE
Melissa Rodriguez,UNI000358,BT
Jamie Ryan,UNI000359,CSE
Mary Leon,UNI000360,CE
Lynn Graham,UNI000361,ME
Thomas Briggs,UNI000362,ME
Daniel Allen,UNI000363,ME
Jennifer Hill,UNI000364,CHE
Joshua Mccarthy,UNI000365,BT
John Williams,UNI000366,CE
Laura Williams,UNI000367,CSE
Jamie Molina,UNI000368,CE
Victoria Davis,UNI000369,CHE
Karen Johnson,UNI000370,CSE
James Kaiser,UNI000371,CSE
Maria Compton,UNI000372,ME
Heather Rodriguez,UNI000373,CE
Amy Pacheco,UNI000374,CE
Kimberly Dennis,UNI000375,CE
Katherine Phillips,UNI000376,ECE
Keith Gardner,UNI000377,ME
Tiffany Wright,UNI000378,BT
John Chavez,UNI000379,CSE
Teresa Doyle,UNI000380,BT
Kayla George,UNI000381,PHM
Jesse Lopez,UNI000382,CHE
Rhonda Walter,UNI000383,ECE
Elizabeth Barnes,UNI000384,ME
John Coleman,UNI000385,PHM
Marcus Jones,UNI000386,BT
